"iteration","term","estimate","std_error"
1,"lag1",6.50130439233505,0.564604074875097
1,"lag2",1.10137275221021,0.688046436983696
1,"lag3",2.8181170074391,0.690309925176125
1,"lag4",-0.972351185557101,0.594155874719876
1,"lag5",2.06500140371892,0.570808215754783
1,"lag6",7.2040311570114,0.557110171874369
1,"lag7",7.2506830811951,0.579196782451466
1,"lag8",-0.259494877147532,0.702523713475029
1,"lag9",0.450955478585095,0.709561225438572
1,"lag10",0.877577967167274,0.603354445068894
1,"lag11",0.704426556154969,0.574743076303498
1,"lag12",0.612394220362468,0.562833069068819
2,"lag1",7.439430408505,0.559730769537826
2,"lag2",1.86393765049714,0.693823594109266
2,"lag3",5.51353406550796,0.700100642085129
2,"lag4",0.153519819821386,0.597161856460988
2,"lag5",2.67923293417249,0.545780123700466
2,"lag6",7.8862042322014,0.529033560191846
2,"lag7",8.00170854094315,0.576519329829554
2,"lag8",0.186721090090568,0.712791537291488
2,"lag9",1.10380896295639,0.718230448711313
2,"lag10",0.811159945216142,0.601019124671573
2,"lag11",1.41168188720714,0.546214526115239
2,"lag12",2.08657957077335,0.530712139280065
3,"lag1",4.92155335866621,0.471759436568695
3,"lag2",2.00501121920498,0.562093823569707
3,"lag3",5.00035533340499,0.547407576241274
3,"lag4",1.33987388454959,0.500200389016854
3,"lag5",1.93099789538164,0.471885112897547
3,"lag6",1.12298363684033,0.453013497376096
3,"lag7",-0.218195498976267,0.48219725092077
3,"lag8",0.365529702928312,0.578288263827451
3,"lag9",0.416826079775288,0.566523730738587
3,"lag10",0.444540134301899,0.513675984500986
3,"lag11",-0.127182180135346,0.474136472588239
3,"lag12",0.621821805333937,0.461239530565413
4,"lag1",5.72671209937621,0.532785946024061
4,"lag2",2.587137700385,0.636740049052588
4,"lag3",5.26549299620632,0.668356416031843
4,"lag4",0.211536251923608,0.605743334433063
4,"lag5",0.643007960031788,0.538712806198504
4,"lag6",2.4652786205767,0.534151520635839
4,"lag7",2.63975470470179,0.542603929895285
4,"lag8",1.39499266125559,0.652562397705424
4,"lag9",1.10351767446842,0.68666895580933
4,"lag10",0.986651503115931,0.614769466599489
4,"lag11",0.0129655292417218,0.539950352502952
4,"lag12",0.386741036154046,0.534188415626221
5,"lag1",7.80602768721279,0.529178428476571
5,"lag2",2.97999943698916,0.618321156573379
5,"lag3",3.25796245716167,0.675204541573025
5,"lag4",0.969405804639154,0.605088874610058
5,"lag5",1.13883826874727,0.526255715972277
5,"lag6",3.25420095438888,0.508772394264336
5,"lag7",3.43875476071633,0.541292417715122
5,"lag8",-0.796268705106596,0.633243257178676
5,"lag9",0.695789684508543,0.68503530636335
5,"lag10",-0.270734335757954,0.608323949841483
5,"lag11",0.104186218069289,0.521047563557066
5,"lag12",0.373888936507012,0.509102555007263
6,"lag1",3.73029036566507,0.476938515835657
6,"lag2",-0.434696880943213,0.590300277281427
6,"lag3",0.929117170136707,0.586126303379435
6,"lag4",0.636869391046605,0.521404878175402
6,"lag5",1.823787855354,0.49937292315077
6,"lag6",3.44717256144192,0.473270621324314
6,"lag7",3.05483512245381,0.488858484648503
6,"lag8",-2.10593100467981,0.604796044060192
6,"lag9",-1.61836637477979,0.601249206820556
6,"lag10",1.17014431189528,0.529227357955167
6,"lag11",0.351282154109492,0.495996986352098
6,"lag12",-0.327154381607381,0.473681011269491
7,"lag1",6.06546495072438,0.476464418380459
7,"lag2",0.654118424545619,0.574860777416433
7,"lag3",3.8418167523304,0.599015512002361
7,"lag4",2.49066480181604,0.524815948933492
7,"lag5",1.66604445494451,0.472157191427767
7,"lag6",1.01208543355438,0.47248133042625
7,"lag7",1.32295816999511,0.491058439953302
7,"lag8",-0.448420538958047,0.603612134261312
7,"lag9",0.0960220950161133,0.624886897414251
7,"lag10",1.48278898527823,0.537822530550051
7,"lag11",0.178090305250338,0.477635830315162
7,"lag12",0.503168476205407,0.475736379659209
8,"lag1",5.74822447878394,0.542845202915253
8,"lag2",2.71827779424966,0.678064241400262
8,"lag3",4.43729678520151,0.657407544039994
8,"lag4",1.46530052977225,0.575235922336975
8,"lag5",2.5439770369652,0.544579860854167
8,"lag6",5.91815084736144,0.526570131919719
8,"lag7",5.55040397080186,0.556787873522036
8,"lag8",1.93138740897331,0.691704428222628
8,"lag9",2.59406549133224,0.663369505995417
8,"lag10",2.80480384664107,0.580790317940832
8,"lag11",1.00691262423021,0.541090001193481
8,"lag12",0.982836493334021,0.524584067679304
9,"lag1",5.69447395991871,0.534532529790753
9,"lag2",0.474049829814454,0.646831482387984
9,"lag3",3.61406600217589,0.663262450999247
9,"lag4",1.17049436389798,0.589637771646508
9,"lag5",0.506969142186884,0.535599874327191
9,"lag6",0.753208724235693,0.530484075093254
9,"lag7",1.17372192925645,0.545908312454474
9,"lag8",0.412503883552214,0.665997893730353
9,"lag9",-1.14594202104117,0.680120710433889
