"iteration","term","estimate"
1,"lag1",0.412516658080384
1,"lag2",-0.0623764470182146
1,"lag3",-2.08987474039104
1,"lag4",0.587107127534033
1,"lag5",0.779422921917147
1,"lag6",-1.50328694693273
1,"lag7",-1.23927504392553
1,"lag8",-0.275696218238591
1,"lag9",2.14144566212624
1,"lag10",4.72749902090546
1,"lag11",2.60925539056331
1,"lag12",-0.535578458358069
2,"lag1",2.32617101581395
2,"lag2",-1.71425249735403
2,"lag3",3.66753668141543
2,"lag4",0.444318170865924
2,"lag5",3.25331677167932
2,"lag6",5.41174701711118
2,"lag7",-2.65001707297448
2,"lag8",3.80734800216434
2,"lag9",5.35472338243901
2,"lag10",2.40761043699111
2,"lag11",6.67312477696053
2,"lag12",2.59909829462679
3,"lag1",-1.96111023447449
3,"lag2",-2.90919922559871
3,"lag3",-1.84049436617684
3,"lag4",-0.224502524560735
3,"lag5",-1.01133376376588
3,"lag6",-1.93582038879483
3,"lag7",-2.36907931315157
3,"lag8",-4.19989490994167
3,"lag9",0.660010032260223
3,"lag10",2.29896262594495
3,"lag11",1.67322611011266
3,"lag12",-1.57388345746244
4,"lag1",0.0894337535219309
4,"lag2",1.53895082868103
4,"lag3",4.23316041751404
4,"lag4",-0.060227725208853
4,"lag5",0.753469073006987
4,"lag6",1.03775885229587
4,"lag7",2.21150467791622
4,"lag8",4.54771171070938
4,"lag9",5.74187336543091
4,"lag10",0.217194825079109
4,"lag11",5.58082412801635
4,"lag12",0.949597688005257
5,"lag1",1.70259556949112
5,"lag2",-1.46495483440505
5,"lag3",-2.06216344545084
5,"lag4",-1.99839874580193
5,"lag5",-0.968033844908135
5,"lag6",0.762204175755954
5,"lag7",2.4192958871272
5,"lag8",2.34204751212694
5,"lag9",-0.0216475469444029
5,"lag10",0.498945547926023
5,"lag11",-3.08942865428364
5,"lag12",1.87352007081948
6,"lag1",1.73237043830396
6,"lag2",1.90664123230707
6,"lag3",0.37620131903387
6,"lag4",3.92034901036929
6,"lag5",1.24185044437396
6,"lag6",1.72776447371959
6,"lag7",1.6154795280224
6,"lag8",3.35339924648552
6,"lag9",7.51065884646187
6,"lag10",8.357016800917
6,"lag11",1.1110242727023
6,"lag12",1.48501007426703
7,"lag1",-2.28185110222099
7,"lag2",0.198679550934567
7,"lag3",3.23418781650135
7,"lag4",3.03456579054179
7,"lag5",2.1745756772645
7,"lag6",3.09655205079681
7,"lag7",0.340072551426674
7,"lag8",0.724356530528317
7,"lag9",8.85205560480909
7,"lag10",3.22056652050784
7,"lag11",1.06451584067073
7,"lag12",6.27754354501118
8,"lag1",-2.13613940429608
8,"lag2",-2.34027879616586
8,"lag3",3.24778724770133
8,"lag4",0.214789143679954
8,"lag5",0.27039442282439
8,"lag6",0.42696793011961
8,"lag7",-0.277892386453448
8,"lag8",1.58417251485596
8,"lag9",4.79283090056805
8,"lag10",2.55906935262658
8,"lag11",0.571416954214662
8,"lag12",2.66130014960262
9,"lag1",-2.11447047784516
9,"lag2",2.20608944860711
9,"lag3",-1.42750198710816
9,"lag4",0.541404127226208
9,"lag5",1.73849270663976
9,"lag6",-0.353293937541525
9,"lag7",-0.530643362641955
9,"lag8",1.33073448600848
9,"lag9",0.85928146355375
9,"lag10",3.05395055936864
9,"lag11",3.25560244333385
9,"lag12",-0.765487236698204
10,"lag1",-0.353736389163957
10,"lag2",-0.860945159879113
10,"lag3",2.20582221398075
10,"lag4",-2.61172479096062
10,"lag5",-2.12892168531274
10,"lag6",-0.742391877372758
10,"lag7",-1.39491208518878
10,"lag8",0.500578733845135
10,"lag9",-0.158571567739327
10,"lag10",0.043891214794987
10,"lag11",0.858143435597983
10,"lag12",0.594603427402296
11,"lag1",-1.84006689179995
11,"lag2",-2.64494850122752
11,"lag3",-1.43248376847981
11,"lag4",-1.60216021158471
11,"lag5",-0.637819408628954
11,"lag6",-0.45450345577259
11,"lag7",0.31543090227032
11,"lag8",1.41997104041654
11,"lag9",2.40282042361766
11,"lag10",0.61126829894948
11,"lag11",2.99050668673257
11,"lag12",0.789704467396026
12,"lag1",-0.889727400468352
12,"lag2",-0.996026375086592
12,"lag3",-3.35471715719427
12,"lag4",3.17532515317033
12,"lag5",-3.17649117314339
12,"lag6",3.80577282018714
12,"lag7",5.74659531350982
12,"lag8",2.80680330939817
12,"lag9",7.81180605458795
12,"lag10",3.4842799416945
12,"lag11",1.16837154051582
12,"lag12",0.424425043441008
13,"lag1",-0.0245190181135303
13,"lag2",-1.85312969459972
13,"lag3",3.94619591620141
13,"lag4",3.62846461054213
13,"lag5",-1.51663999738485
13,"lag6",2.29213166559381
13,"lag7",1.15061979574234
13,"lag8",-1.01324311854325
13,"lag9",0.0949495836368873
13,"lag10",2.06304378466879
13,"lag11",1.9764780695938
13,"lag12",-0.636154957567348
14,"lag1",-2.16180944349044
14,"lag2",-2.50610523698573
14,"lag3",-0.342644306819729
14,"lag4",1.37655894237669
14,"lag5",-2.38307806853198
14,"lag6",1.56358294176491
14,"lag7",0.191617487168426
14,"lag8",-0.140240779201525
14,"lag9",2.27820573037269
14,"lag10",0.83570243240201
14,"lag11",2.1996082281335
14,"lag12",3.11553920594092
15,"lag1",1.96191381285178
15,"lag2",0.65138873368425
15,"lag3",-2.3921677218133
15,"lag4",-0.459207718071174
15,"lag5",-1.56535433794056
15,"lag6",-0.11385874765626
15,"lag7",2.70579224794666
15,"lag8",2.48728691024127
15,"lag9",1.324310673651
15,"lag10",-0.527154468562657
15,"lag11",2.49508298438122
15,"lag12",0.960174111486035
16,"lag1",-1.17311091471036
16,"lag2",-0.641614236466232
16,"lag3",-2.93946929248826
16,"lag4",-0.658244892112048
16,"lag5",6.02170675710283
16,"lag6",3.26370107769223
16,"lag7",2.89127456507716
16,"lag8",-0.399364569567664
16,"lag9",3.8960627321414
16,"lag10",2.28521115003461
16,"lag11",1.78769324616573
16,"lag12",3.54083868193301
17,"lag1",-1.55095195105525
17,"lag2",-1.45325717757386
17,"lag3",-2.68325488539736
17,"lag4",-4.37304034776187
17,"lag5",-2.23814618740931
17,"lag6",0.874009539034215
17,"lag7",1.4759140109144
17,"lag8",-0.0902676706909684
17,"lag9",1.64143977339788
17,"lag10",-0.0273797842690527
17,"lag11",1.90566530609692
17,"lag12",3.16986954863745
18,"lag1",-1.24018857574151
18,"lag2",-1.47781784713734
18,"lag3",-0.337478394693316
18,"lag4",-1.54603328504526
18,"lag5",1.29116410475319
18,"lag6",-0.73099013417335
18,"lag7",-1.99094009306591
18,"lag8",-2.6870020712802
18,"lag9",4.16664175550615
18,"lag10",2.4458662984282
18,"lag11",3.46741384522918
18,"lag12",3.34010937158876
19,"lag1",-2.41161170999243
19,"lag2",-4.02098889178807
19,"lag3",6.01654772500411
19,"lag4",0.921125454445886
19,"lag5",1.80701092861908
19,"lag6",3.64310557478666
19,"lag7",3.20547187048504
19,"lag8",-0.938788298280411
19,"lag9",12.0336532161417
19,"lag10",4.48343013568757
19,"lag11",7.79377224639129
19,"lag12",6.10165065310126
20,"lag1",-2.22898371159649
20,"lag2",-1.97454277513814
20,"lag3",0.605342605441178
20,"lag4",-1.23521893317925
20,"lag5",-2.89348289970035
20,"lag6",-1.28701607865081
20,"lag7",-0.613972788370289
20,"lag8",-1.26027127704849
20,"lag9",9.49934324956011
20,"lag10",5.26718004414701
20,"lag11",11.6123277810194
20,"lag12",4.20013884693431
21,"lag1",5.95732308402955
21,"lag2",6.35263998007764
21,"lag3",0.840581095368863
21,"lag4",3.36664811459764
21,"lag5",3.35901451204318
21,"lag6",4.05157862189589
21,"lag7",4.97707175861206
21,"lag8",3.99306186416026
21,"lag9",1.06839728032113
21,"lag10",-0.339659976883743
21,"lag11",1.37390234849862
21,"lag12",1.87969286313801
22,"lag1",3.22596610550156
22,"lag2",2.06210241727892
22,"lag3",1.00756401276574
22,"lag4",0.260746765115841
22,"lag5",-1.31672480166514
22,"lag6",-1.62060171733437
22,"lag7",-1.01912901023685
22,"lag8",-0.0726288874906983
22,"lag9",3.26643004214918
22,"lag10",0.622476653475191
22,"lag11",0.250714050027592
22,"lag12",0.234135942042316
23,"lag1",-0.991479801731898
23,"lag2",-0.136663913180621
23,"lag3",-3.61886237965929
23,"lag4",-2.27683247137236
23,"lag5",1.98987634314622
23,"lag6",1.32984381896025
23,"lag7",1.97468254851515
23,"lag8",-1.80748939036889
23,"lag9",-1.37846270806193
23,"lag10",-0.486748010611518
23,"lag11",4.74977317948417
23,"lag12",2.87602507634407
24,"lag1",2.60449554064909
24,"lag2",-0.159790744831662
24,"lag3",-4.92850043229694
24,"lag4",-1.05165209439789
24,"lag5",0.427066715396039
24,"lag6",0.0983699928726223
24,"lag7",-1.75266070830684
24,"lag8",-1.4928403463298
24,"lag9",-0.167518053937593
24,"lag10",0.825602218638703
24,"lag11",1.57146096654969
24,"lag12",-0.781834690608767
25,"lag1",0.188674473443677
25,"lag2",-2.85703178527858
25,"lag3",-0.0618739587134017
25,"lag4",-0.627273087704806
25,"lag5",-3.65302372418237
25,"lag6",-1.72296906907914
25,"lag7",0.89241129768705
25,"lag8",-1.26338521005022
25,"lag9",0.663108344569248
25,"lag10",1.15167023736217
25,"lag11",3.32536111562689
25,"lag12",2.4425006300706
26,"lag1",-2.68871325496512
26,"lag2",0.175856369681089
26,"lag3",2.34545353393755
26,"lag4",4.39106949562343
26,"lag5",1.34011833414131
26,"lag6",2.1162637291647
26,"lag7",2.20200118902125
26,"lag8",-1.19110740455593
26,"lag9",1.52719284813247
26,"lag10",2.39633857407465
26,"lag11",3.06312662567342
26,"lag12",3.77580881880688
27,"lag1",-5.19602813975836
27,"lag2",-3.8385474426644
27,"lag3",-0.453020334300234
27,"lag4",-2.45401854327646
27,"lag5",-6.06634536727621
27,"lag6",0.0579333026963301
27,"lag7",1.42658260788706
27,"lag8",-2.42970940417477
27,"lag9",0.167277883923181
27,"lag10",-2.07301620271586
27,"lag11",2.93028303723396
27,"lag12",-0.656852406001971
28,"lag1",-1.55211100410143
28,"lag2",1.37915176426401
28,"lag3",-2.80145757115845
28,"lag4",-0.211946886060178
28,"lag5",-0.208879478890421
28,"lag6",1.36739066787916
28,"lag7",-1.54484929434358
28,"lag8",-0.222240622157935
28,"lag9",5.56041501421626
28,"lag10",-0.711911343078186
28,"lag11",0.971458535708722
28,"lag12",0.311079479376433
29,"lag1",2.44608281517619
29,"lag2",-0.409136147824569
29,"lag3",3.46995705119411
29,"lag4",2.08999629423328
29,"lag5",0.938851225500424
29,"lag6",2.12966278343996
29,"lag7",3.10049829695861
29,"lag8",3.8413889412616
29,"lag9",3.87407662885749
29,"lag10",2.61821581307693
29,"lag11",0.724953842270123
29,"lag12",3.25575365357783
30,"lag1",-2.76874849684868
30,"lag2",-2.26316995327507
30,"lag3",5.55510505077601
30,"lag4",0.829564748743424
30,"lag5",1.30910585753948
30,"lag6",-1.62727820329303
30,"lag7",-1.54555190232257
30,"lag8",-2.65137644450054
30,"lag9",6.75088805304196
30,"lag10",1.82612132227568
30,"lag11",2.24941698710036
30,"lag12",0.913419135454725
31,"lag1",1.15935558918107
31,"lag2",-1.69035178625772
31,"lag3",4.65225526695101
31,"lag4",3.54289929374133
31,"lag5",-0.392919131513249
31,"lag6",3.69906319726892
31,"lag7",3.67261487541212
31,"lag8",5.21306760619485
31,"lag9",6.40721938923143
31,"lag10",9.27100545728035
31,"lag11",4.33744795749101
31,"lag12",1.97441742213453
32,"lag1",0.668460306281619
32,"lag2",2.29640944855439
32,"lag3",2.7650956795444
32,"lag4",-1.10546608195436
32,"lag5",-2.50222802057211
32,"lag6",0.798217957273065
32,"lag7",-1.48880127158504
32,"lag8",-1.13272636268702
32,"lag9",3.12464423157054
32,"lag10",0.679518844506971
32,"lag11",1.91230998688051
32,"lag12",1.23505425934857
33,"lag1",-0.642361928598654
33,"lag2",-1.67797910955625
33,"lag3",1.08917075766638
33,"lag4",-1.68381252251451
33,"lag5",-1.95400826665073
33,"lag6",-3.75715273655429
33,"lag7",1.35564007437193
33,"lag8",-4.1793077240057
33,"lag9",-4.10343742387917
33,"lag10",-3.78695237169582
33,"lag11",-2.23081483288636
33,"lag12",-2.94129666830499
34,"lag1",1.47725900826663
34,"lag2",0.913951879747164
34,"lag3",3.49748056693889
34,"lag4",-0.100864286921042
34,"lag5",-0.97637262336354
34,"lag6",1.42069690974399
34,"lag7",2.19933822055166
34,"lag8",1.1457434364127
34,"lag9",3.6557692829748
34,"lag10",2.68697918387476
34,"lag11",6.62252753362439
34,"lag12",6.04410243870364
35,"lag1",-1.11788980874071
35,"lag2",-3.96972218882841
35,"lag3",-3.62712024551457
35,"lag4",1.5495680666202
35,"lag5",-3.11065922524215
35,"lag6",0.161915880235474
35,"lag7",-2.35141676834627
35,"lag8",1.53611286408168
35,"lag9",1.47991245295635
35,"lag10",2.09138580559478
35,"lag11",1.24856844757929
35,"lag12",1.17338462216272
36,"lag1",-1.82340426714638
36,"lag2",-0.456602417971217
36,"lag3",-2.06673354577591
36,"lag4",-2.2998357621827
36,"lag5",-0.452066474590537
36,"lag6",1.66653928194747
36,"lag7",2.15535137902345
36,"lag8",-0.610967594367209
36,"lag9",-2.00509186556948
36,"lag10",0.364629187180135
36,"lag11",0.346324822869138
36,"lag12",-0.416100183895299
37,"lag1",0.578304749317026
37,"lag2",0.55867483101042
37,"lag3",2.16190243264398
37,"lag4",1.2806320478169
37,"lag5",0.507139975809359
37,"lag6",3.57659270602266
37,"lag7",3.78202589659147
37,"lag8",-1.2657470195936
37,"lag9",-2.54602063589652
37,"lag10",-0.459338031932258
